gwas_name,mid,module_size,net,pval,teamName,traitGroup,type,new_gwas_cat,trait.simplified
EUR.ASN.CARDIoGRAMplusC4D_data_stage2.CAD,14,36,1_ppi,0.0009083675440000001,Matt Maciejewski,Coronary artery disease,Cardiovascular,,Coronary artery disease
EUR.ASN.MI.mi.add.030315.website,8,42,1_ppi,0.000634298249,Matt Maciejewski,Coronary artery disease,Cardiovascular,,Coronary artery disease
EUR.GIANT_EXTREME_BMI_Stage1_Berndt2013_publicrelease_HapMapCeuFreq,21,10,1_ppi,0.000965170729,Matt Maciejewski,"BMI, obesity",Anthropometric,,Body mass index
EUR.GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_HIPadjBMI_WOMEN,11,18,1_ppi,0.000424721889,Matt Maciejewski,BMI (female),Anthropometric,,Body mass index
EUR.IBDGenetics.UC,31,11,1_ppi,0.0010073375999999998,Matt Maciejewski,Inflammatory bowel disease,Immune,,Ulcerative colitis
EUR.pgc.cross.SCZ17.2013-05,33,10,1_ppi,0.00077105407,Matt Maciejewski,Schizophrenia,Psychiatric,,Schizophrenia
EUR.pgc.scz.full.2012-04,33,10,1_ppi,0.000355751855,Matt Maciejewski,Schizophrenia,Psychiatric,,Schizophrenia
EUR.RA_GWASmeta2_20090505,31,11,1_ppi,0.000555827317,Matt Maciejewski,Rheumatoid arthritis,Immune,,Rheumatoid arthritis
EUR.IBD.gwas_ichip_meta_release.CD_ICHIP_P,11,11,2_ppi,0.00115189811,Matt Maciejewski,Inflammatory bowel disease,Immune,,Crohn's disease
EUR.IBD.gwas_ichip_meta_release.CD_META_P,11,11,2_ppi,0.00208369956,Matt Maciejewski,Inflammatory bowel disease,Immune,,Crohn's disease
EUR.MAGIC_Manning_et_al_FastingGlucose_MainEffect.BMIadj,11,11,2_ppi,0.00152982677,Matt Maciejewski,Fasting glucose,Glycemic,,Fasting glucose
EUR.onqah.pgcasdeuro,20,21,2_ppi,0.0018731645800000001,Matt Maciejewski,Autism,Psychiatric,,Autism
EUR.IBD.gwas_ichip_meta_release.CD_ICHIP_P,5,26,3_signal,0.0023775566500000003,Matt Maciejewski,Inflammatory bowel disease,Immune,,Crohn's disease
EUR.GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_WC_WOMEN,26,26,4_coexpr,0.00117271972,Matt Maciejewski,"BMI, waist, hip (female)",Anthropometric,,Waist circumference
EUR.Willer2008.LDL,22,17,5_cancer,9.63348049e-05,Matt Maciejewski,"LDL, total cholesterol",Lipids,,LDL cholesterol
EUR.IGAP_stage_1,29,29,6_homology,0.00039345894200000004,Matt Maciejewski,Alzheimer's disease,Neurodegenerative,,Alzheimer's disease
EUR.GIANT_2015_HIPadjBMI_FEMALES_EUR,223,40,1_ppi,0.00011942383099999998,Hongyan Ren,BMI (female),Anthropometric,,Body mass index
EUR.GIANT_HEIGHT_LangoAllen2010_publicrelease_HapMapCeuFreq_eqtl,8,19,1_ppi,9.28319666e-05,Hongyan Ren,Height,Anthropometric,,Height
EUR.GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_WCadjBMI_MEN,41,41,1_ppi,3.2375156299999996e-05,Hongyan Ren,BMI (male),Anthropometric,,Body mass index
EUR.RA_GWASmeta2_20090505,171,46,1_ppi,9.22499483e-05,Hongyan Ren,Rheumatoid arthritis,Immune,,Rheumatoid arthritis
EUR.anxiety.meta.full.fs.tbl,187,12,2_ppi,0.000140420007,Hongyan Ren,Anxiety disorder,Psychiatric,,Anxiety disorder
EUR.GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_HIPadjBMI_MEN,19,48,2_ppi,0.00023946478,Hongyan Ren,BMI (male),Anthropometric,,Body mass index
EUR.GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_HIPadjBMI_MEN,229,17,2_ppi,0.000271292569,Hongyan Ren,BMI (male),Anthropometric,,Body mass index
EUR.pgc.cross.SCZ17.2013-05,55,50,2_ppi,0.00010016324199999999,Hongyan Ren,Schizophrenia,Psychiatric,,Schizophrenia
EUR.GIANT_2015_HIP_FEMALES_EUR,99,49,4_coexpr,0.000149765023,Hongyan Ren,"BMI, waist, hip (female)",Anthropometric,,Hip circumference
EUR.GIANT_OVERWEIGHT_Stage1_Berndt2013_publicrelease_HapMapCeuFreq,96,47,4_coexpr,0.000154680516,Hongyan Ren,"BMI, obesity",Anthropometric,,Obesity
EUR.MAGIC.Manning_et_al_FastingGlucose_Interaction.InterP,50,47,5_cancer,0.000124254554,Hongyan Ren,Fasting glucose,Glycemic,,Fasting glucose (BMI interact.)
EUR.BPSCZ.scz-only.results,77,38,6_homology,8.378142220000001e-07,Hongyan Ren,Schizophrenia,Psychiatric,,Schizophrenia
EUR.Corre2014.uMg_creat_ratio_all_META_ANALYSIS_Aug2013_7pop1,246,17,6_homology,4.0725364399999996e-05,Hongyan Ren,Electrolytes,Various,,Electrolytes (urin)
EUR.GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_BMI_WOMEN,61,44,6_homology,0.000171538265,Hongyan Ren,"BMI, waist, hip (female)",Anthropometric,,Body mass index
